tahun;namobj;rls;hls;amh;apm_ma;apk;persen_penduduk_ma
2021;Bogor;8,74;12,595;98,81;54,66;64,13;29,5
2021;Sukabumi;7,71;12,345;99,79;52,46;71,28;17,66
2021;Cianjur;7,3;11,965;99,43;45,06;61,51;14,56
2021;Bandung;9,4;12,62;99,88;53,8;64,84;31,45
2021;Garut;7,96;12,06;99,14;51,95;69,51;19,53
2021;Tasikmalaya;7,93;12,625;99,34;62,82;70,5;15,52
2021;Ciamis;8,28;14,425;99,4;50,81;114,29;17,04
2021;Kuningan;8,26;12,565;97,5;67,61;79,03;20,03
2021;Cirebon;7,96;12,49;95,5;60,31;80,78;25,08
2021;Majalengka;7,84;12,325;97,29;60,97;72,5;19,72
2021;Sumedang;8,76;13,295;99,38;44,53;52,97;24,63
2021;Indramayu;7,38;12,16;93,76;58,88;71,46;21,89
2021;Subang;7,57;11,89;96,46;52,28;71,25;23,77
2021;Purwakarta;8,43;12,185;98,68;55,42;80,93;25,65
2021;Karawang;8,04;12,075;97,51;56,87;79,97;27,75
2021;Bekasi;9,72;13,105;97,6;57,75;90,35;44,17
2021;Bandung Barat;8,4;11,885;99,69;49,7;65,42;23,42
2021;Pangandaran;8,24;12,155;99,39;67,27;84,79;18,61
2021;Kota Bogor;10,9;13,395;99,68;62,98;80,96;40,51
2021;Kota Sukabumi;10,26;13,95;99,59;70,62;90,37;35,87
2021;Kota Bandung;11,33;14,33;99,87;68,35;95,4;43,43
2021;Kota Cirebon;10,42;13,11;98,65;67,64;87,01;40,85
2021;Kota Bekasi;11,63;14,205;99,55;70,52;103,6;44,77
2021;Kota Depok;11,5;13,985;99,34;77,18;102,64;45,61
2021;Kota Cimahi;11,15;13,975;99,78;71,1;99,6;40,01
2021;Kota Tasikmalaya;9,77;13,58;99,95;73,45;84,75;30,18
2021;Kota Banjar;9,08;13,26;99,81;71,05;87,26;27,9
2022;Bogor;8,82;12,635;98,38;48,44;66,54;29,58
2022;Sukabumi;7,69;12,355;99,53;52,25;71,15;17,54
2022;Cianjur;7,47;12,105;99,18;48,5;62,88;16,06
2022;Bandung;9,34;12,63;99,47;54,09;65,05;30,02
